regex,sector,country
".*","",""
"\.edu$","edu","us"
"\.gov$","gov","us"
"\.mil$","gov","us"
"\.com$","com",""
"\.ac\.([\w][\w])$","edu","$1"
"\.edu\.([\w][\w])$","edu","$1"
"\W+u\w*\.(\w\w)$","edu","$1"
"\W+coll*\.(\w\w)$","edu","$1"
"\W+fac*\.(\w\w)$","edu","$1"
"\W+polytec*\.(\w\w)$","edu","$1"
"\W+univ*\.(\w\w)$","edu","$1"
"\W+acad*\.(\w\w)$","edu","$1"
"\W+akad*\.(\w\w)$","edu","$1"
"\W+inst.*tech*\.(\w\w)$","edu","$1"
"\W+colleg*\.(\w\w)$","edu","$1"
"\W+ecole*\.(\w\w)$","edu","$1"
"\.gov\.([\w][\w])$","gov","$1"
"\.nationale?\.([\w][\w])$","gov","$1"
"\.nasa*\.([\w][\w])$","gov","$1"
"\.council*\.([\w][\w])$","gov","$1"
"\.agency*\.([\w][\w])$","gov","$1"
"\.usaf*\.([\w][\w])$","gov","$1"
"\.nsf*\.([\w][\w])$","gov","$1"
"\.co\.([\w][\w])$","com","$1"
"bsc\.(es)","gov","$1"
"ciemat\.(es)","gov","$1"
"cwi\.(nl)","gov","$1"
"esciencecenter\.(nl)","gov","$1"
"forth\.(gr)","gov","$1"
"athena-\w*\.(gr)","gov","$1"
"dk.z\.(de)","gov","$1"
"ernet\.(in)","gov","$1"
"nsit.net\.(in)","gov","$1"
"\w*\.go\.(jp)","gov","$1"
"\.re\.(kr)","gov","$1"
"ipm\.(ir)","gov","$1"
"ras\.(ru)","gov","$1"
"ijs\.(si)","gov","$1"
"uni-lj\.(si)","edu","$1"
"um\.(si)","gov","$1"
"vu\.(lt)","gov","$1"
"ru\.(is)","gov","$1"
"skolkovotech\.(ru)","gov","$1"
"niuitmo\.(ru)","gov","$1"
"cscs\.(ch)","gov","$1"
"cern\.(ch)","gov","$1"
"mpg\.(de)","gov","$1"
"mpi-sws.org","gov","de"
"cispa.saarland","gov","de"
"dfki\.(de)","gov","$1"
"fraunhofer\.(de)","gov","$1"
"fhg\.(de)","gov","$1"
"ec-spride\.(de)","gov","$1"
"crisp-da\.(de)","gov","$1"
"hlrs\.(de)","gov","$1"
"fz-juelich\.(de)","gov","$1"
"helmholtz-muenchen.(de)","gov","$1"
"csiro\.(au)","gov","$1"
"cea\.(fr)","gov","$1"
"\W*l\w*\.(fr)","gov","$1"
"cnr\.(it)","gov","$1"
"infn\.(it)","gov","$1"
"ttl\.(fi)","gov","$1"
"simula\.(no)","gov","$1"
"caida\.org","gov","us"
"usna\.edu","gov","us"
"nps\.edu","gov","us"
"nygenome\.org","edu","us"
"icir\.org","edu","us"
"renci\.org","edu","us"
"iitu\.(kz)","edu","$1"
