name,gender
"Agache, Alexandru",M
"Agrawal, Gaurav",M
"Aktas, Mehmet Fatih",M
"Alcorn, Scott",M
"Alcántara, Manuel",M
"Alim, Adil",M
"Allen-Bond, Michael R.",M
"Almeida, Jose Bacelar",M
"Alrwais, Sumayah",F
"Altayeva, Aigerim",F
"Altisen, Karine",F
"Alvarez, Carlos",M
"Anderson, Daniel",M
"Anderton, Cooper",M
"Anderton, William C.",M
"Ang, Petchean",M
"Arumugam, Kamesh",M
"Ashraf, Mohammed",M
"Asplund, Joshua",M
"Avancha, Sasikanth",M
"Baltrunas, Dziugas",M
"Bao, Hong",M
"Barrett, Jake",M
"Baudis, Nikolai",M
"Bauereiss, Thomas",M
"Bazm, Mohammad",M
"Bejda, Michał",M
"Berger, Alon",M
"Bian, Haoqiong",M
"Bian, Pan",M
"Bigot, Julien",M
"Blagojevic, Filip",M
"Blair, David M.",M
"Blondin, Michael",M
"Blot, Arthur",M
"Boedihardjo, Arnold P.",M
"Boehmer, Heinz",M
"Bohme, Marcel",M
"Bois, Kristof Du",M
"Boukhelef, Djillali",M
"Boyle, Rick",M
"Braithwaite, Matt",M
"Campos, Breno",M
"Cao, Shilei",M
"Cao, Shunde",M
"Cao, Yong",M
"Carrión, Joe",M
"Castro, Daniel",M
"Chae, Kwonsoo",M
"Chaganti, Akhilesh",M
"Chambreau, Christopher M.",M
"Chan, David Yu Cheng",M
"Chan, Michael",M
"Chan, Yuandong",M
"Chang, Wan-Teh",M
"Chang, Wooseok",M
"Changsheng, Xie",M
"Chau, Vincent",M
"Che, Huimin",M
"Chen, Bingwei",M
"Chen, Rui",M
"Chen, Xianlan",F
"Chen, Zhengguo",M
"Cheng, Eric K. T.",M
"Chesnut, Noah",M
"Cho, Hyunsoo",M
"Cho, Young Im",F
"Choudhary, Praval",M
"Chung, Jongwook",M
"Clarkson, James",M
"Cui, Timothy",M
"DAntras, Amanieu",M
"Dao, Thanh-Chung",M
"Dehesa-Azuara, Mario",M
"Delmas, Alberto",M
"Ding, Boyan",M
"Dreps, Daniel M.",M
"Dresel, Lukas",M
"Eranti, Vijay",M
"Erbshäußer, Tobias",M
"Essanian, Alexander",M
"Eum, Junho",M
"Evangelidis, Alexandros",M
"Ferreira, Jose Bravo",M
"Ferreron, Alexandra",F
"Flouri, Tomas",M
"Fratin, Vinícius",M
"Fryer, Daniel",M
"Galon, Shay",M
"Gao, Edison",M
"Gens, David",M
"Goncalves, Marcos Andre",M
"Gu, Bin",M
"Hanafy, Yasser Y.",M
"Hetland, Conor",M
"Hirsch, Thomas",M
"Hobson, Thomas",M
"Hogberg, Doug",M
"Holliman, Matthew",M
"Holman, Michael",M
"Honda, Takumi",M
"Huang, Ying",F
"Iii, Charles B. Morrey",M
"Ilsche, Thomas",M
"Janus, Pawel",M
"Ji, Xu",M
"Jia, Lina",F
"Jia, Zhang",F
"Jorda, Marc",M
"Karakoy, Mustafa",M
"Kazior, Michał",M
"Keppeler, Jens",M
"Kim, Jung",F
"Kim, Kiyeon",F
"Kim, Yoona",F
"Konradi, Alex",M
"Kouranov, Fedor",M
"Krishnan, Akhil",M
"Kumano, Tatsuo",M
"Kumar, Jitendra",M
"Lascorz, Alberto Delmas",M
"Lawthers, Peter",M
"Le-Goff, Nicolas",M
"Lee, Eojin",M
"Levy, Scott",M
"Li, Harry Huan",M
"Li, Hongliang",M
"Li, Long",M
"Li, Mengyuan",F
"Li, Qiang",M
"Li, Xiaoguang",M
"Li, Xiaoye",F
"Li, Zhipeng",M
"Liagouris, John",M
"Lin, Dong",M
"Liu, Chang",M
"Liu, Mengxing",M
"Liu, Tony",M
"Liu, Zhenhong",M
"Livingston, Kelly",F
"Loechner, Vincent",M
"Lopes, Andre",M
"Lopez-Buedo, Sergio",M
"Lorys, Krzysztof",M
"Lu, Jian",M
"Lu, Ping",M
"Lugato, David",M
"Lumpe, Markus",M
"Lundin, Alan",M
"Luo, Mulong",M
