interest,canonical,topic
computer architecture,,Architecture
distributed systems,,Concurrency
cloud computing,,Cloud
high performance computing,High-Performance Computing,HPC
operating systems,,OS
security,,Security
machine learning,,Data
databases,,DB
parallel computing,,Concurrency
programming languages,,Compilers
networking,,Network
big data,,Data
computer science,,
distributed computing,Distributed Systems,Concurrency
algorithms,,
data mining,,Data
computer security,Security,Security
systems,Computer Systems,
compilers,,Compilers
software engineering,,
data management,,DB
computer networks,,Network
privacy,,Security
computer systems,,
database systems,,DB
virtualization,,VM
high-performance computing,,HPC
hpc,High-Performance Computing,HPC
artificial intelligence,,
storage systems,,Storage
parallel programming,,Concurrency
networks,Networking,Network
cryptography,,Security
mobile computing,,
scheduling,,OS
fault tolerance,,Security
storage,Storage Systems,Storage
bioinformatics,,HPC
theoretical computer science,,
performance evaluation,,Benchmark
embedded systems,,
program analysis,,Compilers
parallel and distributed computing,Parallel and Distributed Systems,Concurrency
file systems,,Storage
memory systems,,Architecture
database,,DB
concurrency,,Concurrency
scientific computing,,HPC
performance analysis,,Benchmark
social networks,,
compiler,Compilers,Compilers
network security,,Security
verification,,
autonomic computing,,
energy efficiency,,Energy
formal methods,,
optimization,,
wireless networks,,Network
system security,,Security
graph algorithms,,HPC
cloud,Cloud Computing,Cloud
distributed algorithms,,Concurrency
internet of things,,
dependability,,Security
runtime systems,,OS
information security,,Security
logic,,
distributed system,Distributed systems,Concurrency
information retrieval,,DB
operating system,Operating Systems,OS
reconfigurable computing,,
reliability,,Security
interconnection networks,,Network
parallel algorithms,,Concurrency
gpu computing,,GPGPU
programming models,,Compilers
computational biology,,HPC
grid computing,,Cloud
data integration,,DB
game theory,,
systems security,,Security
supercomputing,,HPC
parallel and distributed systems,,Concurrency
deep learning,,Data
data analytics,,Data
crowdsourcing,,
wireless,Wireless Networking,Network
performance,,
gpgpu,,GPGPU
vlsi,,Architecture
fault-tolerance,,Security
data science,,Data
algorithmic game theory,,
performance modeling,,Benchmark
data structures,,
big data analytics,,Data
middleware,,OS
parallel processing,,Concurrency
cyber-physical systems,,
approximate computing,,
applied cryptography,,Security
computer vision,,
heterogeneous computing,,GPGPU
parallel i/o,,Concurrency
approximation algorithms,,
gpu,GPGPU,GPGPU
computer networking,,Network
