name,gender,n_female,n_male
"Skibski, Oskar",M,0,2
"Michalak, Tomasz",M,0,5
"Rahwan, Talal",M,0,2
"Liu, Xin",F,0,5
"Yan, Junchi",M,3,27
"Xiao, Shuai",M,1,8
"Wang, Xiangfeng",M,1,4
"Zha, Hongyuan",M,5,28
"Chu, Stephen",M,2,11
"Aziz, Haris",M,0,6
"Rauchecker, Gerhard",M,0,3
"Schryen, Guido",M,0,3
"Walsh, Toby",M,0,3
"Bouveret, Sylvain",M,0,3
"Lang, Jerome",M,0,3
"Mackenzie, Simon",M,0,3
"Eisenstein, Jacob",M,0,0
"Zhang, Xiang",M,0,4
"Lecun, Yann",M,NA,NA
"Ren, Zhe",M,0,8
"Ni, Bingbing",M,NA,NA
"Liu, Bin",M,0,5
"Yang, Xiaokang",M,NA,NA
"Liu, Xinwang",M,NA,NA
"Li, Miaomiao",F,NA,NA
"Wang, Lei",M,NA,NA
"Dou, Yong",NA,NA,NA
"Yin, Jianping",M,NA,NA
"Zhu, En",M,NA,NA
"Li, Xuelong",M,3,11
"Chen, Mulin",M,1,2
"Nie, Feiping",M,NA,NA
"Wang, Qi",F,0,3
"Bai, Song",M,0,3
"Bai, Xiang",M,1,12
"Tian, Qi",M,NA,NA
"Latecki, Longin Jan",M,0,4
"Xiao, Han",M,2,0
"Huang, Minlie",F,NA,NA
"Zhu, Xiaoyan",F,NA,NA
"Zhang, Quanshi",M,1,2
"Cao, Ruiming",M,1,2
"Wu, Ying Nian",F,NA,NA
"Zhu, Song-Chun",M,NA,NA
"Zhang, Zhen",M,2,8
"Shi, Qinfeng",M,1,7
"Mcauley, Julian",M,2,12
"Wei, Wei",M,1,5
"Zhang, Yanning",F,0,8
"Yao, Rui",M,1,5
"Hengel, Anton Van Den",M,4,12
"Bernardini, Sara",F,2,1
"Fox, Maria",F,2,1
"Long, Derek",M,3,0
"Piacentini, Chiara",F,2,1
"Liu, Xianglong",M,2,7
"Deng, Cheng",M,3,9
"Mu, Yadong",M,3,8
"Li, Zhujin",M,0,3
"He, Xiangteng",M,0,2
"Peng, Yuxin",M,0,2
"Cao, Yue",M,0,3
"Long, Mingsheng",M,0,10
"Wang, Jianmin",M,0,12
"Liu, Shichen",M,0,3
"Chang, Yale",M,2,4
"Dy, Jennifer",F,0,1
"Lu, Yao",F,1,0
