name,gs_email,s2aid,s2npubs
Oliver Jakob Arndt,,2398441,30
Fabian David Träger,,19211530,3
Tobias Moß,,32893656,1
Holger Blume,@ims.uni-hannover.de,1766866,140
Siddharth Rai,,3412543,10
Mainak Chaudhuri,,6226754,45
Benjamin Marks,,39071799,15
Tia Newhall,,2255031,22
Stavan Karia,@g.rit.edu,19203465,1
Dylan Machovec,,3435078,10
Sudeep Pasricha,@engr.colostate.edu,1681003,177
Anthony Maciejewski,@colostate.edu,1728645,267
Howard J. Siegel,@ColoState.edu,1744243,437
Gregory Koenig,,1727497,34
Mike Wright,,1731296,141
Marcia Hilton,,33529455,16
Rajendra Rambharos,,2789975,6
Thomas Naughton,@cs.nuim.ie,35428304,61
Neena Imam,,1794961,49
Lilia Zaourar,@cea.fr,2240099,15
Massinissa Ait Aba,@cea.fr,19177200,2
David Briand,,2426945,81
Jean-Marc Philippe,,2271726,29
Thibaud Ecarot,,2031247,3
Djamal Zeghlache,@it-sudparis.eu,1711563,178
Cedric Brandily,,9879478,2
Sonia Lopez,,32446890,72
John Meehan,,2960286,48
Cansu Aslantas,,3137330,3
Stan Zdonik,@cs.brown.edu,2031287,192
Nesime Tatbul,@csail.mit.edu,1773620,84
Jiang Du,,40444545,172
Ronald Barber,,32491666,22
Christian Garcia-Arellano,@ca.ibm.com,2339810,9
Ronen Grosman,,3403589,8
Rene Mueller,,39168144,51
Vijayshankar Raman,,1731987,69
Richard Sidle,,1870587,16
Matt Spilchen,,7587477,1
Adam Storm,,3047270,12
Yuanyuan Tian,@umich.edu,1968180,86
Pinar Tozun,@epfl.ch,1843945,25
Daniel Zilio,@ca.ibm.com,2460866,24
Matt Huras,,3416113,3
Guy Lohman,@us.ibm.com,1793770,97
C. Mohan,@us.ibm.com,39207992,3
Fatma Ozcan,@us.ibm.com,3023309,58
Hamid Pirahesh,@us.ibm.com,2886859,87
Barzan Mozafari,@umich.edu,2198667,48
Jags Ramnarayan,,3415413,4
Sudhir Menon,,3415450,4
Yogesh Mahajan,,7587970,15
Soubhik Chakraborty,,33801198,50
Hemant Bhanawat,,3415563,4
Kishor Bachhav,,3416102,4
Peter Bailis,@cs.stanford.edu,2740804,69
Edward Gan,,40209711,10
Kexin Rong,@wpi.edu,7804757,8
Sahaana Suri,,2763552,10
Dong Deng,@csail.mit.edu,38737063,62
Raul Castro Fernandez,,34568734,21
Ziawasch Abedjan,@tu-berlin.de,2034349,31
Sibo Wang,@uq.edu.au,39996718,12
Michael Stonebraker,,1695715,374
Ahmed Elmagarmid,@qf.org.qa,1740095,277
Ihab Ilyas,@uwaterloo.ca,1743316,125
Samuel Madden,@csail.mit.edu,144478906,279
Mourad Ouzzani,@qf.org.qa,2168047,136
Nan Tang,@qf.org.qa,8669763,83
Joseph M. Hellerstein,@berkeley.edu,1695576,279
Vikram Sreekanti,@berkeley.edu,7905466,1
Joseph E. Gonzales,,30503077,52
Sudhansku Arora,,32577542,1
Arka Bhattacharyya,@eecs.berkeley.edu,29361335,3
Shirshanka Das,,2640806,28
Akon Dey,@sydney.edu.au,37033419,19
Mark Donsky,,7717979,1
Gabriel Fierro,,39394560,7
Sreyashi Nag,,7529854,3
Krishna Ramachandran,,17341438,32
Chang She,,1889439,57
Eric Sun,,2592571,44
Carl Steinbach,,37841313,2
Venkat Subramanian,,38394852,12
William Spoth,,7368358,1
Bahareh Sadat Arab,@hawk.iit.edu,3275836,9
Eric S. Chan,,8926608,18
Dieter Gawlick,,3241986,56
Adel Ghoneimy,,2319764,7
Boris Glavic,@iit.edu,1798930,64
Beda Hammerschmidt,,2632725,21
Oliver Kennedy,@buffalo.edu,2043556,71
Seokki Lee,,3409770,10
Zhen Hua Liu,,39789752,49
Xing Niu,,2067901,24
Ying Yang,,39897670,156
Raja Appuswamy,@epfl.ch,32113594,29
Manos Karpathiotakis,@epfl.ch,1943226,28
Danica Porobic,@epfl.ch,1686933,16
Anastasia Ailamaki,@epfl.ch,1728318,227
Viktor Leis,@in.tum.de,1787012,32
Bernharde Radke,@in.tum.de,39865427,1
Andrey Gubichev,@in.tum.de,1772311,18
Alfons Kemper,,1740464,290
Thomas Neumann,@in.tum.de,1706846,184
Philip A. Bernstein,@microsoft.com,1737944,285
Mohammad Dashti,@epfl.ch,3006292,18
Tim Kiefer,,32019086,19
David Maier,@cs.pdx.edu,1740962,272
Ang Chen,@cis.upenn.edu,2421465,98
Yang Wu,@cis.upenn.edu,2549020,462
Andreas Haeberlen,@cis.upenn.edu,1719236,88
Boon Thau Loo,@cis.upenn.edu,35206168,183
Wenchao Zhou,@cs.georgetown.edu,33779522,111
Jingjing Wang,@cs.washington.edu,1734704,443
Tobin Baker,,32434326,1
Magdalena Balazinska,@cs.washington.edu,1718134,159
Daniel Halperin,@cs.washington.edu,36823652,59
Brandon Haynes,,40604484,6
Bill Howe,@uw.edu,1686294,115
Dylan Hutchison,@cs.washington.edu,40035295,45
Shrainik Jain,@cs.washington.edu,2278389,6
Ryan Maas,,40081201,5
Parmita Mehta,,35207951,3
Dominik Moritz,@cs.washington.edu,1714104,39
Brandon Myers,@uiowa.edu,40281316,17
Jennifer Ortiz,@uw.edu,40382476,24
Dan Suciu,@cs.washington.edu,9246931,373
Andrew Whitaker,,20825910,28
Shengliang Xu,@cs.washington.edu,1694822,24
Timothy G. Mattson,@intel.com,2682150,92
Vijay Gadepally,,1867298,74
Zuohao She,,7946702,5
Adam Dziedzic,@uchicago.edu,7485473,7
Jeff Parkhurst,,33282330,14
Andrew Pavlo,@cs.cmu.edu,1774210,53
Gustavo Angulo,,2097105,20
Joy Arulraj,@cs.cmu.edu,2135406,16
Haibin Lin,@andrew.cmu.edu,2384732,20
Jiexi Lin,,2323488,3
Lin Ma,@cs.cmu.edu,34264361,733
Prashanth Menon,@cs.cmu.edu,39882369,8
Todd C. Mowry,@cs.cmu.edu,1761585,121
Matthew Perron,@csail.mit.edu,34106619,2
Ian Quah,,7455366,3
Siddharth Santurkar,,1940209,3
Anthony Tomasic,@cs.cmu.edu,1693125,97
Skye Toor,,30046815,1
Dana Van Aken,,40270373,6
Ziqi Wang,@pku.edu.cn,2486512,51
Yingjun Wu,,7860942,27
Ran Xian,,2304675,5
Tieying Zhang,@cs.cmu.edu,1706297,31
Tarique Siddiqui,@illinois.edu,5295950,8
