name,gender
"Aalst, Wil Van Der",M
"Aamodt, Tor M.",M
"Aba, Massinissa Ait",M
"Ababei, Cristinel",M
"Abadi, Daniel J.",M
"Abadi, Martín",M
"Abali, Bulent",M
"Abari, Omid",M
"Abbadi, Amr El",M
"Abbadi, Mohamed",M
"Abbas, Naeem",M
"Abdel-Majeed, Mohammad",M
"Abdelbaky, Moustafa",M
"Abdelhafez, Hazem",M
"Abdelhalim, Amer",M
"Abdelwahed, Sherif",M
"Abdelzaher, Tarek",M
"Abdolrashidi, Amirali",M
"Abdulah, Sameh",M
"Abduljabbar, Mustafa",M
"Abdulla, Parosh Aziz",F
"Abe, Naoki",M
"Abe, Tatsuya",M
"Abedi, Ali",M
"Abedjan, Ziawasch",M
"Aben, Emile",M
"Abeydeera, Maleen",M
"Abhashkumar, Anubhavnidhi",M
"Aboulnaga, Ashraf",M
"Abowd, John",M
"Abraham, Ittai",M
"Abrahao, Bruno",M
"Abramson, David",M
"Abts, Dennis",M
"Abu-Ghazaleh, Nael",M
"Abu-Salma, Ruba",F
"Abulila, Ahmed",M
"Acar, Gunes",M
"Acar, Umut A.",M
"Acar, Yasemin",F
"Accioly, Paola",F
"Acer, Mustafa Emre",M
"Acer, Seher",F
"Acharya, Ayan",M
"Achermann, Reto",M
"Acun, Bilge",F
"Adam, Omer",M
"Adams, Michael D.",M
"Adams, Trent",M
"Adamsen, Christoffer Quist",M
"Adeniyi-Jones, Chris",M
"Adersberger, Josef",M
"Adhinarayanan, Vignesh",M
"Adib, Fadel",M
"Adileh, Almutaz",M
"Adrian, David",M
"Adve, Sarita V.",F
"Afroz, Sadia",F
"Afsahi, Ahmad",M
"Aftandilian, Edward",M
"Aga, Misiker Tadesse",M
"Aga, Shaizeen",F
"Agarwal, Deepak",M
"Agarwal, Neha",F
"Agarwal, Nipun",M
"Agarwal, Rachit",M
"Agarwal, Sameer",M
"Agarwal, Sharad",M
"Ageev, Mikhail",M
"Aggarwal, Charu",M
"Aggarwal, Pooja",F
"Aghayev, Abutalib",M
"Agichtein, Eugene",M
"Agostini, Elena",F
"Agrawal, Abhinav",M
"Agrawal, Abhishek",M
"Agrawal, Aditya",M
"Agrawal, Ankit",M
"Agrawal, Divyakant",M
"Agrawal, Gagan",M
"Agrawal, Kunal",F
"Agrawal, Nitin",M
"Agrawal, Rakesh",M
"Agrawal, Rohit",M
"Agrawal, Sandeep R.",M
"Agrawal, Shashank",M
"Agrawal, Shweta",F
"Aguiar, Leandro P. De",M
"Aguilera, Marcos K.",M
"Agullo, Emmanuel",M
"Agung, Mulya",M
"Ahalt, Stan",M
"Ahamad, Mustaque",M
"Ahmad, Irfan",M
"Ahmad, Ishfaq",M
"Ahmad, Maaz Bin Safeer",M
"Ahmad, Masab",M
"Ahmad, Raza",M
"Ahmad, Yanif",M
"Ahmed, Amal",F
"Ahmed, Kishwar",M
