key,linked,unreleased,expired,badge,evaluated,location
CIDR_17_003,True,False,True,False,False,Other
CIDR_17_004,True,False,False,False,False,Repository
CIDR_17_006,True,False,False,False,False,Repository
CIDR_17_012,True,False,False,False,False,Academic
CIDR_17_015,True,False,False,False,False,Repository
CIDR_17_027,False,False,False,False,False,Repository
CIDR_17_031,False,False,False,False,False,Repository
PPoPP_17_001,False,True,True,False,True,
PPoPP_17_002,False,True,True,False,True,
PPoPP_17_003,False,True,True,False,True,
PPoPP_17_004,False,True,True,False,True,
PPoPP_17_005,False,True,True,False,True,
PPoPP_17_006,False,True,True,False,True,
PPoPP_17_007,False,True,True,False,True,
PPoPP_17_008,True,False,False,False,False,Repository
PPoPP_17_010,False,True,True,False,True,
PPoPP_17_011,False,False,False,False,False,Repository
PPoPP_17_012,False,True,True,False,True,
PPoPP_17_013,False,True,True,False,True,
PPoPP_17_019,True,False,False,False,True,Repository
PPoPP_17_020,True,False,False,False,False,Repository
PPoPP_17_022,False,True,True,False,True,
PPoPP_17_023,False,True,True,False,True,
PPoPP_17_027,True,False,False,False,False,Academic
HPCA_17_005,True,False,False,False,False,Academic
HPCA_17_011,True,False,False,False,False,Repository
HPCA_17_016,True,False,False,False,False,Repository
HPCA_17_030,False,False,False,False,False,Repository
HPCA_17_043,True,False,False,False,False,Repository
HPCA_17_044,True,False,False,False,False,Repository
NDSS_17_002,True,False,False,False,False,Repository
NDSS_17_003,True,False,False,False,False,Repository
NDSS_17_006,True,False,True,False,False,Other
NDSS_17_007,True,False,False,False,False,Repository
NDSS_17_011,True,False,False,False,False,Repository
NDSS_17_012,True,False,False,False,False,Repository
NDSS_17_017,True,False,False,False,False,Repository
NDSS_17_018,True,False,False,False,False,Repository
NDSS_17_020,True,False,False,False,False,Repository
NDSS_17_021,False,False,False,False,False,Repository
NDSS_17_027,True,False,False,False,False,Repository
NDSS_17_029,True,False,False,False,False,Repository
NDSS_17_030,True,False,False,False,False,Repository
NDSS_17_035,True,False,False,False,False,Repository
NDSS_17_038,True,False,False,False,False,Repository
NDSS_17_039,True,False,False,False,False,Repository
NDSS_17_047,True,False,False,False,False,Academic
NDSS_17_052,False,False,False,False,False,Repository
NDSS_17_054,False,False,False,False,False,Repository
NDSS_17_064,False,False,False,False,False,Repository
NDSS_17_065,True,False,False,False,False,Repository
NDSS_17_067,True,False,False,False,False,Repository
FAST_17_002,True,False,False,False,False,Repository
FAST_17_005,True,False,False,False,False,Other
FAST_17_007,False,False,False,False,False,Other
FAST_17_008,True,False,False,False,False,Academic
FAST_17_012,True,False,False,False,False,Other
FAST_17_016,True,False,False,False,False,Academic
FAST_17_017,True,False,False,False,False,Repository
FAST_17_018,False,False,False,False,False,Repository
FAST_17_020,False,False,False,False,False,Repository
FAST_17_021,True,False,False,False,False,Repository
FAST_17_022,True,False,False,False,False,Repository
FAST_17_025,False,False,False,False,False,Repository
FAST_17_027,True,False,False,False,False,Repository
NSDI_17_001,True,False,False,False,False,Repository
NSDI_17_008,True,False,False,False,False,Repository
NSDI_17_009,True,False,False,False,False,Other
NSDI_17_010,True,False,False,False,False,Repository
NSDI_17_015,True,False,False,False,False,Academic
NSDI_17_016,False,False,False,False,False,Repository
NSDI_17_017,True,False,False,False,False,Repository
NSDI_17_021,True,False,True,False,False,Other
NSDI_17_023,True,False,False,False,False,Repository
NSDI_17_025,False,True,True,False,False,
NSDI_17_029,True,False,False,False,False,Repository
NSDI_17_035,False,False,False,False,False,Repository
NSDI_17_039,True,False,False,False,False,Repository
NSDI_17_042,True,False,False,False,False,Repository
ASPLOS_17_003,False,False,False,False,False,Repository
ASPLOS_17_004,True,False,False,False,False,Repository
ASPLOS_17_009,False,False,False,False,False,Repository
ASPLOS_17_010,False,False,False,False,False,Repository
ASPLOS_17_011,True,False,False,False,False,Repository
ASPLOS_17_015,False,False,False,False,False,Repository
ASPLOS_17_017,False,False,False,False,False,Repository
ASPLOS_17_018,True,False,False,False,False,Other
ASPLOS_17_020,True,False,False,False,False,Repository
ASPLOS_17_024,True,False,False,False,False,Repository
ASPLOS_17_027,True,False,False,False,False,Repository
ASPLOS_17_035,True,False,True,False,False,Other
ASPLOS_17_039,True,False,False,False,False,Academic
ASPLOS_17_040,False,False,False,False,False,Repository
ASPLOS_17_043,False,False,False,False,False,Repository
ASPLOS_17_045,True,False,False,False,False,Repository
ASPLOS_17_048,False,False,False,False,False,Repository
ASPLOS_17_051,True,False,False,False,False,Repository
VEE_17_001,True,False,False,False,False,Repository
VEE_17_002,True,False,False,False,False,Repository
VEE_17_005,False,False,False,False,False,Repository
VEE_17_011,False,False,False,False,False,Repository
ICPE_17_001,True,False,False,False,False,Repository
ICPE_17_004,True,False,False,False,False,Repository
ICPE_17_006,True,False,False,False,False,Repository
ICPE_17_008,True,False,False,False,False,Repository
ICPE_17_009,True,False,False,False,False,Academic
ICPE_17_023,True,False,True,False,False,Academic
ICPE_17_024,True,False,False,False,False,Repository
ICPE_17_025,True,False,False,False,False,Repository
ICPE_17_026,True,False,True,False,False,Repository
ICPE_17_027,True,False,False,False,False,Repository
ICPE_17_028,True,False,False,False,False,Repository
ICPE_17_029,True,False,True,False,False,Other
ISPASS_17_001,True,False,False,False,False,Repository
ISPASS_17_002,False,False,False,False,False,Academic
ISPASS_17_006,True,False,True,False,False,Academic
ISPASS_17_008,True,False,True,False,False,Repository
ISPASS_17_009,True,False,False,False,False,Repository
ISPASS_17_011,True,False,False,False,False,Repository
ISPASS_17_018,False,False,False,False,False,Repository
EuroSys_17_002,True,False,False,False,False,Repository
EuroSys_17_010,False,False,False,False,False,Repository
EuroSys_17_011,True,False,False,False,False,Repository
EuroSys_17_015,False,False,False,False,False,Repository
EuroSys_17_016,True,False,False,False,False,Repository
EuroSys_17_017,True,False,False,False,False,Academic
EuroSys_17_018,True,False,False,False,False,Academic
EuroSys_17_020,True,False,False,False,False,Repository
EuroSys_17_023,True,False,False,False,False,Academic
EuroSys_17_026,True,False,False,False,False,Other
EuroSys_17_029,False,False,False,False,False,Repository
EuroSys_17_030,True,False,False,False,False,Repository
EuroSys_17_032,False,False,False,False,False,Repository
EuroSys_17_035,False,False,False,False,False,Repository
