key,source,exclude_self,months,citations
CIDR_17_001,GS,False,4,0
CIDR_17_001,GS,False,5,1
CIDR_17_001,GS,False,6,2
CIDR_17_001,GS,False,6,2
CIDR_17_001,GS,False,7,3
CIDR_17_001,GS,False,8,5
CIDR_17_001,GS,False,8,5
CIDR_17_001,GS,False,9,6
CIDR_17_001,GS,False,10,6
CIDR_17_001,GS,False,11,6
CIDR_17_001,GS,False,12,6
CIDR_17_001,GS,False,13,7
CIDR_17_001,GS,False,14,7
CIDR_17_001,GS,False,15,8
CIDR_17_001,GS,False,16,9
CIDR_17_001,GS,False,17,9
CIDR_17_001,GS,False,18,10
CIDR_17_001,GS,False,21,12
CIDR_17_001,GS,False,24,18
CIDR_17_001,GS,False,30,24
CIDR_17_001,GS,False,36,38
CIDR_17_001,GS,False,50,92
CIDR_17_001,GS,False,54,2
CIDR_17_001,GS,False,60,2
CIDR_17_001,Scopus,False,60,9
CIDR_17_001,Scopus,False,67,9
CIDR_17_001,Scopus,False,12,2
CIDR_17_001,Scopus,False,24,4
CIDR_17_001,Scopus,False,36,8
CIDR_17_001,Scopus,False,48,8
CIDR_17_001,Scopus,False,60,9
CIDR_17_001,Scopus,False,72,9
CIDR_17_001,Scopus,True,12,2
CIDR_17_001,Scopus,True,24,3
CIDR_17_001,Scopus,True,36,6
CIDR_17_001,Scopus,True,48,6
CIDR_17_001,Scopus,True,60,7
CIDR_17_001,Scopus,True,72,7
CIDR_17_002,GS,False,4,0
CIDR_17_002,GS,False,5,1
CIDR_17_002,GS,False,6,1
CIDR_17_002,GS,False,6,1
CIDR_17_002,GS,False,7,1
CIDR_17_002,GS,False,8,1
CIDR_17_002,GS,False,8,1
CIDR_17_002,GS,False,9,1
CIDR_17_002,GS,False,10,1
CIDR_17_002,GS,False,11,1
CIDR_17_002,GS,False,12,3
CIDR_17_002,GS,False,13,3
CIDR_17_002,GS,False,14,3
CIDR_17_002,GS,False,15,3
CIDR_17_002,GS,False,16,3
CIDR_17_002,GS,False,17,4
CIDR_17_002,GS,False,18,6
CIDR_17_002,GS,False,21,6
CIDR_17_002,GS,False,24,7
CIDR_17_002,GS,False,30,11
CIDR_17_002,GS,False,36,11
CIDR_17_002,GS,False,42,12
CIDR_17_002,GS,False,48,15
CIDR_17_002,GS,False,54,20
CIDR_17_002,GS,False,60,21
CIDR_17_002,Scopus,False,60,9
CIDR_17_002,Scopus,False,67,9
CIDR_17_002,Scopus,False,12,2
CIDR_17_002,Scopus,False,24,3
CIDR_17_002,Scopus,False,36,4
CIDR_17_002,Scopus,False,48,8
CIDR_17_002,Scopus,False,60,11
CIDR_17_002,Scopus,False,72,13
CIDR_17_002,Scopus,True,12,0
CIDR_17_002,Scopus,True,24,1
CIDR_17_002,Scopus,True,36,1
CIDR_17_002,Scopus,True,48,5
CIDR_17_002,Scopus,True,60,8
CIDR_17_002,Scopus,True,72,10
CIDR_17_003,GS,False,4,2
CIDR_17_003,GS,False,5,2
CIDR_17_003,GS,False,6,4
CIDR_17_003,GS,False,6,4
CIDR_17_003,GS,False,7,4
CIDR_17_003,GS,False,8,4
CIDR_17_003,GS,False,8,4
CIDR_17_003,GS,False,9,4
CIDR_17_003,GS,False,10,5
CIDR_17_003,GS,False,11,6
CIDR_17_003,GS,False,12,6
CIDR_17_003,GS,False,13,6
CIDR_17_003,GS,False,14,8
CIDR_17_003,GS,False,15,10
CIDR_17_003,GS,False,16,13
CIDR_17_003,GS,False,17,14
CIDR_17_003,GS,False,18,14
CIDR_17_003,GS,False,21,17
CIDR_17_003,GS,False,24,20
CIDR_17_003,GS,False,30,19
CIDR_17_003,GS,False,36,25
CIDR_17_003,GS,False,42,39
CIDR_17_003,GS,False,48,43
CIDR_17_003,GS,False,54,32
CIDR_17_003,GS,False,60,33
CIDR_17_003,Scopus,False,60,33
CIDR_17_003,Scopus,False,67,33
CIDR_17_003,Scopus,False,12,5
CIDR_17_003,Scopus,False,24,15
CIDR_17_003,Scopus,False,36,24
CIDR_17_003,Scopus,False,48,31
CIDR_17_003,Scopus,False,60,34
CIDR_17_003,Scopus,False,72,40
CIDR_17_003,Scopus,True,12,3
CIDR_17_003,Scopus,True,24,9
CIDR_17_003,Scopus,True,36,17
CIDR_17_003,Scopus,True,48,24
CIDR_17_003,Scopus,True,60,27
CIDR_17_003,Scopus,True,72,33
CIDR_17_004,GS,False,7,11
CIDR_17_004,GS,False,8,13
CIDR_17_004,GS,False,9,13
CIDR_17_004,GS,False,10,14
CIDR_17_004,GS,False,11,15
CIDR_17_004,GS,False,12,15
CIDR_17_004,GS,False,13,19
CIDR_17_004,GS,False,14,21
CIDR_17_004,GS,False,15,26
CIDR_17_004,GS,False,16,27
CIDR_17_004,GS,False,17,30
CIDR_17_004,GS,False,18,32
CIDR_17_004,GS,False,21,35
CIDR_17_004,GS,False,24,42
CIDR_17_004,GS,False,30,54
CIDR_17_004,GS,False,36,72
CIDR_17_004,GS,False,42,116
CIDR_17_004,GS,False,48,133
CIDR_17_004,GS,False,54,140
CIDR_17_004,GS,False,60,147
CIDR_17_004,Scopus,False,60,51
CIDR_17_004,Scopus,False,67,51
CIDR_17_004,Scopus,False,12,8
CIDR_17_004,Scopus,False,24,20
CIDR_17_004,Scopus,False,36,32
CIDR_17_004,Scopus,False,48,42
CIDR_17_004,Scopus,False,60,52
CIDR_17_004,Scopus,False,72,59
CIDR_17_004,Scopus,True,12,3
CIDR_17_004,Scopus,True,24,11
CIDR_17_004,Scopus,True,36,22
CIDR_17_004,Scopus,True,48,31
CIDR_17_004,Scopus,True,60,40
CIDR_17_004,Scopus,True,72,46
CIDR_17_005,GS,False,4,3
CIDR_17_005,GS,False,5,6
CIDR_17_005,GS,False,6,8
