conference,is_org_ACM,is_org_IEEE,is_org_USENIX,field,subfield,url,country,postdate,month_of_year,months_since_published,deadline_day_of_week,review_days,mean_pages,submissions,min_reviews,total_reviews,double_blind,rebuttal,open_access,diversity_effort,age,past_papers,mean_historical_length,past_citations,mean_historical_citations,h5_index,h5_median,chairs_num,pc_size,pc_author_ratio,npapers,authors_num,mean_authors_per_paper,acceptance_rate,pc_paper_ratio,full_name
CIDR_17,False,False,False,Systems,Databases,http://cidrdb.org/cidr2017/,US,2017-01-08,1,65,SUN,53,8.94,78,5,,False,False,True,False,8,293,36.625,,,30,53,3,30,0.155,32,213,6.656,0.41,0.375,The biennial Conference on Innovative Data Systems Research
PPoPP_17,True,False,False,Systems,Concurrency,http://ppopp17.sigplan.org/,US,2017-02-04,2,65,MON,103,13.9,132,4,660,True,True,False,False,29,862,29.724,11045,12.813,34,50,1,44,0.361,29,122,4.207,0.22,0.207,SIGPLAN Symposium on Principles and Practice of Parallel Programming
HPCA_17,False,True,False,Systems,Architecture,http://hpca2017.org,US,2017-02-04,2,65,MON,72,12.02,224,4,1114,False,False,False,False,22,822,37.364,14853,18.069,42,61,1,46,0.219,50,215,4.3,0.223,0.2,The IEEE Symposium on High Performance Computer Architecture
NDSS_17,False,False,False,Systems,Security,https://www.ndss-symposium.org/ndss2017/,US,2017-02-26,2,64,FRI,67,15.04,423,2,,True,False,True,False,20,533,26.65,,,51,84,2,63,0.199,68,327,4.809,0.161,0.235,The Network and Distributed System Security Symposium
FAST_17,False,False,True,Systems,Storage,https://www.usenix.org/conference/fast17/,US,2017-02-27,2,64,TUE,76,14.44,116,3,479,True,False,True,True,15,168,11.2,2651,15.78,41,72,2,34,0.303,27,119,4.407,0.233,0.333,USENIX Conference on File and Storage Technologies
NSDI_17,False,False,True,Systems,Network,https://www.usenix.org/conference/nsdi17/,US,2017-03-27,3,63,WED,75,15.81,254,3,1056,True,False,True,True,13,119,9.154,4844,40.706,59,105,2,42,0.217,42,203,4.833,0.165,0.238,USENIX Symposium on Networked Systems Design and Implementation
ASPLOS_17,True,False,False,Systems,Architecture,http://novel.ict.ac.cn/ASPLOS2017/,CN,2017-04-08,4,62,MON,87,14.42,320,3,1440,True,True,False,False,35,670,19.143,23803,35.527,49,102,1,49,0.202,56,247,4.411,0.175,0.161,ACM International Conference on Architectural Support for Programming Languages and Operating Systems
VEE_17,True,False,False,Systems,Virtualization,http://conf.researchr.org/home/vee-2017,CN,2017-04-09,4,62,WED,68,14.22,43,3,160,True,True,False,False,13,220,16.923,2866,13.027,,,2,19,0.224,18,85,4.722,0.419,0.056,International Conference on Virtual Execution Environments
ICPE_17,True,False,False,Systems,Benchmarking,https://icpe2017.spec.org/,IT,2017-04-22,4,62,FRI,42,11.34,83,3,249,False,False,False,False,19,579,30.474,2810,4.853,21,25,2,42,0.431,29,102,3.517,0.349,0.207,ACM/SPEC International Conference on Performance Engineering
ISPASS_17,False,False,False,Systems,Benchmarking,http://www.ispass.org/ispass2017/,US,2017-04-24,4,62,FRI,108,10.58,81,4,387,True,True,False,True,17,465,27.353,4071,8.755,24,34,1,39,0.408,24,98,4.083,0.296,0.125,IEEE International Symposium on Performance Analysis of Systems and Software
