name,gs_email,interest,topic
"Aalst, Wil Van Der",@tue.nl,business process management,
"Aalst, Wil Van Der",@tue.nl,process mining,
"Aalst, Wil Van Der",@tue.nl,petri nets,
"Aalst, Wil Van Der",@tue.nl,information systems,
"Aalst, Wil Van Der",@tue.nl,business intelligence,
"Ababei, Cristinel",@marquette.edu,embedded systems,
"Ababei, Cristinel",@marquette.edu,computing systems,
"Ababei, Cristinel",@marquette.edu,fpgas,GPGPU
"Ababei, Cristinel",@marquette.edu,eda,Data
"Ababei, Cristinel",@marquette.edu,smart buildings/cities,
"Abadi, Daniel J.",@cs.yale.edu,database systems,DB
"Abari, Omid",@mit.edu,computer networks,Network
"Abari, Omid",@mit.edu,wireless systems,
"Abari, Omid",@mit.edu,communication,Network
"Abari, Omid",@mit.edu,software-hardware systems,
"Abbadi, Amr El",@cs.ucsb.edu,databases,DB
"Abbadi, Amr El",@cs.ucsb.edu,distributed systems,Concurrency
"Abbadi, Amr El",@cs.ucsb.edu,social nw,
"Abbadi, Amr El",@cs.ucsb.edu,cloud computing,Cloud
"Abbas, Naeem",@pnec.nust.edu.pk,parallel processing,Concurrency
"Abbas, Naeem",@pnec.nust.edu.pk,high-level synthesis,
"Abbas, Naeem",@pnec.nust.edu.pk,hardware acceleration,GPGPU
"Abbas, Naeem",@pnec.nust.edu.pk,reconfigurable computing,
"Abbas, Naeem",@pnec.nust.edu.pk,machine learning,Data
"Abdel-Majeed, Mohammad",@ju.edu.jo,high-performance computing,HPC
"Abdel-Majeed, Mohammad",@ju.edu.jo,computer architecture,Architecture
"Abdel-Majeed, Mohammad",@ju.edu.jo,energy efficiency,Energy
"Abdel-Majeed, Mohammad",@ju.edu.jo,reliability,Security
"Abdelbaky, Moustafa",@rutgers.edu,cloud computing,Cloud
"Abdelbaky, Moustafa",@rutgers.edu,autonomic computing,
"Abdelbaky, Moustafa",@rutgers.edu,software defined environments,
"Abdelbaky, Moustafa",@rutgers.edu,parallel and distributed computing,Concurrency
"Abdelbaky, Moustafa",@rutgers.edu,machine learning,Data
"Abdelhafez, Hazem",@ece.ubc.ca,big data,Data
"Abdelhafez, Hazem",@ece.ubc.ca,computer vision,
"Abdelhafez, Hazem",@ece.ubc.ca,robotics,
"Abdelhafez, Hazem",@ece.ubc.ca,astronomy,
"Abdelhafez, Hazem",@ece.ubc.ca,cloud computing,Cloud
"Abdelhalim, Amer",@anl.gov,parallel and distributed systems,Concurrency
"Abdelwahed, Sherif",@ece.msstate.edu,autonomic computing,
"Abdelwahed, Sherif",@ece.msstate.edu,model-based design of embedded systems,
"Abdelwahed, Sherif",@ece.msstate.edu,design and performance analysis of cyber-physical systems,
"Abdelwahed, Sherif",@ece.msstate.edu,fault di,
"Abdelzaher, Tarek",@cs.uiuc.edu,real-time systems,OS
"Abdelzaher, Tarek",@cs.uiuc.edu,wireless sensor networks,Network
"Abdelzaher, Tarek",@cs.uiuc.edu,cyber-physical systems,
"Abdelzaher, Tarek",@cs.uiuc.edu,embedded systems,
"Abdelzaher, Tarek",@cs.uiuc.edu,social sensing,
"Abedi, Ali",@maine.edu,wireless communications,Network
"Abedi, Ali",@maine.edu,coding theory,
"Abedi, Ali",@maine.edu,information theory,Network
"Abedi, Ali",@maine.edu,wireless sensor networks,Network
"Abedi, Ali",@maine.edu,network coding,Network
"Abedjan, Ziawasch",@tu-berlin.de,databases,DB
"Abedjan, Ziawasch",@tu-berlin.de,data integration,DB
"Abedjan, Ziawasch",@tu-berlin.de,data profiling,
"Abhashkumar, Anubhavnidhi",@wisc.edu,computer networks,Network
