key,words,alphabetized,months_to_gs,months_to_eprint,subtitle,labeled_title,title_length,references,entities
CIDR_17_001,9051,False,4,4,False,False,6,18,Apache Kafka;Big data;Inter-process communication;Scalability;Stream processing;Streaming media;Time series
CIDR_17_002,6486,False,4,4,False,False,8,16,Big data;Database;Ecosystem;IT risk management;Mobile app
CIDR_17_003,6816,False,4,4,True,True,10,28,Apache Spark;Big data;Computational model;Distributed computing;High-throughput computing;Scalability;Stream processing;Throughput;Total cost of ownership
CIDR_17_004,8004,True,8,8,True,True,6,,Data center;Telematics;explanation
CIDR_17_005,7077,False,4,4,False,False,4,19,Big data;Computation;Data science;Database;End-to-end principle;Experience;Federation (information technology);Grunt;Linkage (software);Merck Index;Sputter cleaning;Workflow engine
CIDR_17_006,11813,False,8,8,True,True,5,23,Agile software development;Apache Hive;Application programming interface;Best practice;Big data;Business informatics;Classless Inter-Domain Routing;Clean Slate Program;Column (database);Column-oriented DBMS;Compiler;Computation;Confidentiality;Context (computing);Counterfactual definiteness;Daily build;Data dictionary;Data governance;Data lineage;Data science;Data system;Database;Database engine;Dataflow programming;Debugging;Decoupling (electronics);Dictionary;Download;Downstream (software development);Email;Experience;Exploratory testing;Graphical user interface;Institute for Operations Research and the Management Sciences;Interaction;Issue tracking system;JSON;Janet basis;Legacy system;Machine learning;Master data management;Metamodeling;Nonlinear gameplay;Numerical analysis;Ontology (information science);Open-source software;Out-of-order execution;Pipeline (computing);Python;RSS;Recommender system;Requirement;Risk aversion;SARA (computer);SQL;Scheduling (computing);Sentiment analysis;Service layer;Social media;Social network;Software release life cycle;Software versioning;Source data;Statistical model;Stemming;Table (database);Test set;Upstream (software development);Usage data;User interface;Value (ethics);Velocity;X86
CIDR_17_007,8340,False,4,4,False,False,3,19,Context-sensitive language;Data curation;Database;Probabilistic database;Programming paradigm;Relational database;Workspace
CIDR_17_008,9001,False,4,4,False,False,5,46,CPU cache;Cache coherence;Database engine;General-purpose computing on graphics processing units;Heterogeneous System Architecture;Message passing;Multi-core processor;Online analytical processing;Online transaction processing;Parallel computing;Replay attack;Shared memory
CIDR_17_009,7028,False,4,4,True,False,8,30,Database;Plan;Relational database management system;Sampling (signal processing)
CIDR_17_010,10727,True,4,4,False,False,6,7,Actor model;Application programming interface;Cloud storage;Fault tolerance;In-memory database;Programming model;Relational database management system;Scalability;Server (computing)
CIDR_17_011,7135,False,4,4,True,False,11,48,Computation;Database;Debugging;Distributed computing;Experience;Software deployment;Systems architecture
CIDR_17_012,10275,False,4,4,False,False,11,43,Big data;Cloud computing;Data science
CIDR_17_013,6614,False,4,4,False,False,9,20,Big data;Database engine;Metagenomics;Reference implementation
CIDR_17_014,6784,False,6,6,False,False,5,52,Autonomic computing;Autonomous car;Database;Deep learning;Integrated circuit;Management system;Physical design (electronics)
CIDR_17_015,7677,False,4,4,False,False,7,33,Data science;Interaction;Programmer
CIDR_17_016,10659,False,4,4,False,False,10,50,Concurrency (computer science);Concurrency control;Data visualization;End-to-end principle;Interaction;Interaction technique;Lurker;Management system;Method of analytic tableaux;SQL;Systems design;User interface;View (SQL)
CIDR_17_017,8108,False,4,4,True,True,7,23,AVA Radio Company;Controlled natural language;Data science;Interface (Java);Natural language;Pipeline (computing)
CIDR_17_018,7758,False,4,4,True,False,9,13,Algorithmic efficiency;Big data;Brute-force attack;Curiously recurring template pattern;Data infrastructure;Jumpstart Our Business Startups Act;Open research;Petabyte
CIDR_17_019,8511,False,4,4,False,False,5,10,Apriori algorithm;Cybercrime;Database;Database activity monitoring;Database forensics;Experiment;Information sensitivity
CIDR_17_020,6201,True,6,6,False,False,7,7,Book;Database;Materialized view;Relational database;Result set;Rewriting
CIDR_17_021,12382,False,4,4,True,False,12,66,Algorithm;Benchmark (computing);Flip-flop (electronics);Multi-core processor;Mutual exclusion;NAT traversal;No Silver Bullet;Relational database management system;Relay;Scalability
CIDR_17_022,7438,False,4,4,True,False,14,21,Algorithm;Central processing unit;Concurrency (computer science);Concurrency control;Database;In-memory database;Load balancing (computing);Multi-core processor;Project Looking Glass
CIDR_17_023,8282,True,4,4,True,False,13,58,Consistency (database systems);Eventual consistency;Jumpstart Our Business Startups Act;Snapshot (computer storage);Snapshot isolation;Transaction processing;Weak consistency
CIDR_17_024,8051,False,4,,False,False,10,30,Amazon Mechanical Turk;The Simpsons;The Turk
CIDR_17_025,9200,False,4,4,True,True,12,48,Algorithm;Baseline (configuration management);Code generation (compiler);Compiler;Directed acyclic graph;Experiment;High- and low-level;Holism;Linear algebra;Machine learning;Mathematical optimization;Memory bandwidth;Program optimization;Requirement;Snapshot (computer storage);Sparse matrix;Spoofing attack;Symbolic computation
CIDR_17_026,4602,True,6,,True,True,13,14,Concurrent computing;Janus Recognition Toolkit (JRTk);Manycore processor;PageRank;Transaction processing;Windows 3.1x
CIDR_17_027,7546,False,4,4,True,True,9,28,Apache Spark;Data-intensive computing;Intermediate representation;Libraries;Library;Library (computing);Machine learning;NumPy;Parallel computing;Program optimization;SQL;Structured Query Language;TensorFlow;Workload;pandas
CIDR_17_028,6082,True,4,4,False,False,5,15,Algorithm;Big data;Database;Money;Response time (technology);Responsiveness;Scalability;Software rot;Solution stack;Velocity
CIDR_17_029,10861,True,4,4,False,False,10,,Cloud computing;Computer performance;Enterprise resource planning;Machine learning;Money;Onset (audio);Performance prediction;Provisioning;Query string;Reinforcement learning;Virtual machine
