name,gs_email,gender,country,sector,npubs,hindex,hindex5y,i10index,i10index5y,citedby,s2npubs
"Aalst, Wil Van Der",@tue.nl,M,NL,EDU,1413,132,90,592,478,76802,811
"Aba, Massinissa Ait",@cea.fr,M,FR,GOV,2,0,0,0,0,0,2
"Ababei, Cristinel",@marquette.edu,M,US,EDU,82,15,13,20,15,1012,
"Abadi, Daniel J.",@cs.yale.edu,M,US,EDU,98,33,32,46,45,13511,80
"Abadi, Martín",,M,,,,,,,,,
"Abari, Omid",@mit.edu,M,US,EDU,22,8,8,7,6,167,20
"Abbadi, Amr El",@cs.ucsb.edu,M,US,EDU,484,68,39,225,112,16186,402
"Abbadi, Mohamed",,M,,,,,,,,,14
"Abbas, Naeem",@pnec.nust.edu.pk,M,PK,EDU,15,4,4,1,1,43,73
"Abdel-Majeed, Mohammad",@ju.edu.jo,M,JO,EDU,10,3,3,2,2,94,7
"Abdelbaky, Moustafa",@rutgers.edu,M,US,EDU,20,8,8,7,7,462,21
"Abdelhafez, Hazem",@ece.ubc.ca,M,CA,EDU,9,2,2,0,0,15,2
"Abdelhalim, Amer",@anl.gov,M,US,GOV,16,5,5,3,3,76,
"Abdelwahed, Sherif",@ece.msstate.edu,M,US,EDU,179,23,16,58,29,1738,127
"Abdelzaher, Tarek",@cs.uiuc.edu,M,US,EDU,568,79,55,228,193,27844,420
"Abdolrashidi, Amirali",@email.ucr.edu,M,US,EDU,11,4,4,3,3,73,9
"Abdulah, Sameh",,M,,,,,,,,,
"Abduljabbar, Mustafa",@kaust.edu.sa,M,SA,EDU,10,4,3,2,2,89,6
"Abdulla, Parosh Aziz",@it.uu.se,F,SE,EDU,368,39,23,90,61,5367,196
"Abe, Naoki",,M,,,,,,,,,
"Abe, Tatsuya",,M,,,,,,,,,75
"Abedi, Ali",@maine.edu,M,CA,EDU,149,13,11,18,11,615,96
"Abedjan, Ziawasch",@tu-berlin.de,M,DE,EDU,30,11,11,12,12,294,31
"Aben, Emile",,M,,,,,,,,,19
"Abeydeera, Maleen",@mit.edu,M,US,EDU,8,2,2,1,1,19,6
"Abhashkumar, Anubhavnidhi",@wisc.edu,M,US,EDU,6,2,2,1,1,18,7
"Aboulnaga, Ashraf",@qf.org.qa,M,QA,EDU,88,29,24,45,39,3008,
"Abowd, John",@census.gov,M,US,GOV,369,46,31,99,60,14041,78
"Abraham, Ittai",@cs.huji.ac.il,M,IL,EDU,109,35,21,58,44,3143,209
"Abrahao, Bruno",@cs.stanford.edu,M,US,EDU,25,9,8,9,8,400,
"Abramson, David",@monash.edu,M,US,EDU,378,38,23,120,41,10850,
"Abts, Dennis",@acm.org,M,,,83,17,16,24,21,2390,
"Abu-Ghazaleh, Nael",@cs.ucr.edu,M,US,EDU,322,31,24,83,47,5850,167
"Abu-Salma, Ruba",,F,,,,,,,,,8
"Abulila, Ahmed",,M,US,EDU,,,,,,,2
"Acar, Gunes",@princeton.edu,M,BE,EDU,15,6,6,5,5,467,11
"Acar, Umut A.",@cs.cmu.edu,M,US,EDU,112,25,18,45,39,2295,129
"Acar, Yasemin",,F,DE,EDU,,,,,,,27
"Accioly, Paola",@cin.ufpe.br,F,BR,EDU,19,5,5,2,2,53,11
"Acer, Mustafa Emre",,M,,,,,,,,,5
"Acer, Seher",@bilkent.edu.tr,F,TR,EDU,10,2,2,0,0,15,10
"Acharya, Ayan",@utexas.edu,M,US,EDU,50,12,11,12,12,488,
"Achermann, Reto",@inf.ethz.ch,M,CH,EDU,9,3,3,0,0,25,12
"Acun, Bilge",@illinois.edu,F,US,EDU,14,5,5,4,4,132,11
"Adam, Omer",,M,,,,,,,,,7
