key,self_refs,total_refs
CIDR_17_001,3,26
CIDR_17_002,4,35
CIDR_17_003,11,41
CIDR_17_004,1,26
CIDR_17_005,12,23
CIDR_17_006,2,35
CIDR_17_007,11,36
CIDR_17_008,7,51
CIDR_17_009,9,31
CIDR_17_010,3,18
CIDR_17_011,16,54
CIDR_17_012,10,71
CIDR_17_013,9,26
CIDR_17_014,4,64
CIDR_17_015,8,45
CIDR_17_016,7,63
CIDR_17_017,1,38
CIDR_17_018,1,20
CIDR_17_019,3,15
CIDR_17_020,1,8
CIDR_17_021,6,79
CIDR_17_022,2,23
CIDR_17_023,6,61
CIDR_17_024,3,37
CIDR_17_025,3,53
CIDR_17_026,3,22
CIDR_17_027,3,37
CIDR_17_028,5,19
CIDR_17_029,1,52
CIDR_17_030,2,26
CIDR_17_031,2,34
CIDR_17_032,3,16
PPoPP_17_001,1,41
PPoPP_17_002,8,72
PPoPP_17_003,10,35
PPoPP_17_004,12,38
PPoPP_17_005,5,42
PPoPP_17_006,0,36
PPoPP_17_007,3,51
PPoPP_17_008,6,24
PPoPP_17_009,9,30
PPoPP_17_010,4,37
PPoPP_17_011,7,37
PPoPP_17_012,3,43
PPoPP_17_013,5,33
PPoPP_17_014,11,32
PPoPP_17_015,5,61
PPoPP_17_016,3,33
PPoPP_17_017,4,18
PPoPP_17_018,9,57
PPoPP_17_019,2,26
PPoPP_17_020,7,36
PPoPP_17_021,3,26
PPoPP_17_022,4,45
PPoPP_17_023,11,71
PPoPP_17_024,17,40
PPoPP_17_025,10,72
PPoPP_17_026,4,27
PPoPP_17_027,0,49
PPoPP_17_028,6,35
PPoPP_17_029,5,48
HPCA_17_001,11,37
HPCA_17_002,2,52
HPCA_17_003,2,38
HPCA_17_004,5,56
HPCA_17_005,6,40
HPCA_17_006,5,48
HPCA_17_007,4,45
HPCA_17_008,3,41
HPCA_17_009,2,71
HPCA_17_010,4,26
HPCA_17_011,5,25
HPCA_17_012,0,39
HPCA_17_013,1,51
HPCA_17_014,7,56
HPCA_17_015,2,23
HPCA_17_016,17,106
HPCA_17_017,0,36
HPCA_17_018,1,53
HPCA_17_019,10,63
HPCA_17_020,11,49
HPCA_17_021,5,23
HPCA_17_022,0,33
HPCA_17_023,6,32
HPCA_17_024,4,37
HPCA_17_025,1,44
HPCA_17_026,2,37
HPCA_17_027,4,47
HPCA_17_028,12,38
HPCA_17_029,5,31
HPCA_17_030,3,56
HPCA_17_031,4,48
HPCA_17_032,5,32
HPCA_17_033,4,29
HPCA_17_034,8,54
HPCA_17_035,3,46
HPCA_17_036,1,32
HPCA_17_037,3,25
HPCA_17_038,3,50
HPCA_17_039,9,48
HPCA_17_040,8,50
HPCA_17_041,4,68
HPCA_17_042,8,30
HPCA_17_043,1,46
HPCA_17_044,7,47
HPCA_17_045,6,38
HPCA_17_046,9,34
HPCA_17_047,8,49
HPCA_17_048,0,75
HPCA_17_049,4,46
HPCA_17_050,7,46
NDSS_17_001,0,22
NDSS_17_002,3,25
NDSS_17_003,1,56
NDSS_17_004,1,62
NDSS_17_005,4,64
NDSS_17_006,5,46
NDSS_17_007,6,75
NDSS_17_008,2,50
NDSS_17_009,8,38
NDSS_17_010,3,39
NDSS_17_011,7,49
NDSS_17_012,1,46
NDSS_17_013,4,34
NDSS_17_014,2,27
NDSS_17_015,0,45
NDSS_17_016,8,53
NDSS_17_017,0,42
