name,gs_email,role,key
"Kossmann, Donald",,chair,CIDR_17
"Balazinska, Magdalena",@cs.washington.edu,chair,CIDR_17
"Stonebraker, Michael",,chair,CIDR_17
"Abadi, Daniel J.",@cs.yale.edu,pc,CIDR_17
"Agrawal, Rakesh",@microsoft.com,pc,CIDR_17
"Babu, Shivnath",,pc,CIDR_17
"Blakeley, Jose",@microsoft.com,pc,CIDR_17
"Bonnet, Philippe",@itu.dk,pc,CIDR_17
"Caffarella, Mike",,pc,CIDR_17
"Cooper, Brian",,pc,CIDR_17
"Das, Sudipto",@microsoft.com,pc,CIDR_17
"Doan, Anhai",@cs.wisc.edu,pc,CIDR_17
"Duggan, Jennie",,pc,CIDR_17
"Elmore, Aaron J.",,pc,CIDR_17
"Fekete, Alan",@sydney.edu.au,pc,CIDR_17
"Finkelstein, Shel",,pc,CIDR_17
"Idreos, Stratos",@seas.harvard.edu,pc,CIDR_17
"Kraska, Tim",@cs.berkeley.edu,pc,CIDR_17
"Kuno, Harumi",,pc,CIDR_17
"Lomet, David",,pc,CIDR_17
"Melnik, Sergey",@ul.ie,pc,CIDR_17
"Mozafari, Barzan",@umich.edu,pc,CIDR_17
"Neumann, Thomas",@in.tum.de,pc,CIDR_17
"Ozcan, Fatma",@us.ibm.com,pc,CIDR_17
"Pandis, Ippokratis",@amazon.com,pc,CIDR_17
"Papaemmanouil, Olga",@cs.brandeis.edu,pc,CIDR_17
"Patel, Jignesh M.",@cs.wisc.edu,pc,CIDR_17
"Pavlo, Andrew",@cs.cmu.edu,pc,CIDR_17
"Re, Christopher",@cs.stanford.edu,pc,CIDR_17
"Sedlar, Eric",@oracle.com,pc,CIDR_17
"Tozun, Pinar",@epfl.ch,pc,CIDR_17
"Wang, Daisy Zhe",@cise.ufl.edu,pc,CIDR_17
"Weikum, Gerhard",@mpi-inf.mpg.de,pc,CIDR_17
"Galt, Emily",,keynote,CIDR_17
"Madden, Samuel",@csail.mit.edu,keynote,CIDR_17
"Papaemmanouil, Olga",@cs.brandeis.edu,session,CIDR_17
"Ives, Zachary G.",@cis.upenn.edu,session,CIDR_17
"Pandis, Ippokratis",@amazon.com,session,CIDR_17
"Duggan, Jennie",,session,CIDR_17
"Dewitt, David",,session,CIDR_17
"Pavlo, Andrew",@cs.cmu.edu,session,CIDR_17
"Mozafari, Barzan",@umich.edu,session,CIDR_17
"Abedjan, Ziawasch",@tu-berlin.de,session,CIDR_17
"Fekete, Alan",@sydney.edu.au,session,CIDR_17
"Tozun, Pinar",@epfl.ch,session,CIDR_17
"Stonebraker, Michael",,session,CIDR_17
"Pavlo, Andrew",@cs.cmu.edu,session,CIDR_17
"Ozcan, Fatma",@us.ibm.com,session,CIDR_17
"Meehan, John",,author,CIDR_17_001
"Aslantas, Cansu",,author,CIDR_17_001
"Zdonik, Stan",@cs.brown.edu,author,CIDR_17_001
"Tatbul, Nesime",@csail.mit.edu,author,CIDR_17_001
"Du, Jiang",,author,CIDR_17_001
"Barber, Ronald",,author,CIDR_17_002
"Garcia-Arellano, Christian",@ca.ibm.com,author,CIDR_17_002
"Grosman, Ronen",,author,CIDR_17_002
"Mueller, Rene",,author,CIDR_17_002
"Raman, Vijayshankar",,author,CIDR_17_002
"Sidle, Richard",,author,CIDR_17_002
"Spilchen, Matt",,author,CIDR_17_002
"Storm, Adam",,author,CIDR_17_002
"Tian, Yuanyuan",@umich.edu,author,CIDR_17_002
"Tozun, Pinar",@epfl.ch,author,CIDR_17_002
"Zilio, Daniel",@ca.ibm.com,author,CIDR_17_002
"Huras, Matt",,author,CIDR_17_002
"Lohman, Guy",@us.ibm.com,author,CIDR_17_002
"Mohan, C.",@us.ibm.com,author,CIDR_17_002
"Ozcan, Fatma",@us.ibm.com,author,CIDR_17_002
"Pirahesh, Hamid",@us.ibm.com,author,CIDR_17_002
"Mozafari, Barzan",@umich.edu,author,CIDR_17_003
"Ramnarayan, Jags",,author,CIDR_17_003
"Menon, Sudhir",,author,CIDR_17_003
"Mahajan, Yogesh",,author,CIDR_17_003
"Chakraborty, Soubhik",,author,CIDR_17_003
"Bhanawat, Hemant",,author,CIDR_17_003
"Bachhav, Kishor",,author,CIDR_17_003
"Bailis, Peter",@cs.stanford.edu,author,CIDR_17_004
"Gan, Edward",,author,CIDR_17_004
"Rong, Kexin",@wpi.edu,author,CIDR_17_004
"Suri, Sahaana",,author,CIDR_17_004
"Deng, Dong",@csail.mit.edu,author,CIDR_17_005
"Fernandez, Raul Castro",,author,CIDR_17_005
"Abedjan, Ziawasch",@tu-berlin.de,author,CIDR_17_005
"Wang, Sibo",@uq.edu.au,author,CIDR_17_005
"Stonebraker, Michael",,author,CIDR_17_005
"Elmagarmid, Ahmed",@qf.org.qa,author,CIDR_17_005
"Ilyas, Ihab",@uwaterloo.ca,author,CIDR_17_005
"Madden, Samuel",@csail.mit.edu,author,CIDR_17_005
"Ouzzani, Mourad",@qf.org.qa,author,CIDR_17_005
"Tang, Nan",@qf.org.qa,author,CIDR_17_005
"Hellerstein, Joseph M.",@berkeley.edu,author,CIDR_17_006
"Sreekanti, Vikram",@berkeley.edu,author,CIDR_17_006
"Gonzales, Joseph E.",,author,CIDR_17_006
"Arora, Sudhansku",,author,CIDR_17_006
"Bhattacharyya, Arka",@eecs.berkeley.edu,author,CIDR_17_006
"Das, Shirshanka",,author,CIDR_17_006
"Dey, Akon",@sydney.edu.au,author,CIDR_17_006
"Donsky, Mark",,author,CIDR_17_006
"Fierro, Gabriel",,author,CIDR_17_006
"Nag, Sreyashi",,author,CIDR_17_006
"Ramachandran, Krishna",,author,CIDR_17_006
"She, Chang",,author,CIDR_17_006
"Sun, Eric",,author,CIDR_17_006
"Steinbach, Carl",,author,CIDR_17_006
"Subramanian, Venkat",,author,CIDR_17_006
"Spoth, William",,author,CIDR_17_007
"Arab, Bahareh Sadat",@hawk.iit.edu,author,CIDR_17_007
"Chan, Eric S.",,author,CIDR_17_007
"Gawlick, Dieter",,author,CIDR_17_007
"Ghoneimy, Adel",,author,CIDR_17_007
"Glavic, Boris",@iit.edu,author,CIDR_17_007
"Hammerschmidt, Beda",,author,CIDR_17_007
"Kennedy, Oliver",@buffalo.edu,author,CIDR_17_007
"Lee, Seokki",,author,CIDR_17_007
"Liu, Zhen Hua",,author,CIDR_17_007
"Niu, Xing",,author,CIDR_17_007
"Yang, Ying",,author,CIDR_17_007
"Appuswamy, Raja",@epfl.ch,author,CIDR_17_008
