key,topic
CIDR_17_001,Data
CIDR_17_001,Cloud
CIDR_17_002,Data
CIDR_17_002,DB
CIDR_17_003,Cloud
CIDR_17_003,Data
CIDR_17_004,Data
CIDR_17_005,Data
CIDR_17_006,Data
CIDR_17_007,DB
CIDR_17_008,DB
CIDR_17_008,GPGPU
CIDR_17_009,DB
CIDR_17_010,DB
CIDR_17_011,DB
CIDR_17_011,Network
CIDR_17_012,Cloud
CIDR_17_012,Data
CIDR_17_013,Data
CIDR_17_013,Storage
CIDR_17_014,DB
CIDR_17_015,Data
CIDR_17_016,Data
CIDR_17_017,Data
CIDR_17_018,Data
CIDR_17_019,DB
CIDR_17_019,Security
CIDR_17_020,DB
CIDR_17_021,DB
CIDR_17_021,Concurrency
CIDR_17_022,Concurrency
CIDR_17_023,Concurrency
CIDR_17_024,Data
CIDR_17_025,Data
CIDR_17_026,DB
CIDR_17_026,Concurrency
CIDR_17_027,Data
CIDR_17_028,DB
CIDR_17_029,Cloud
CIDR_17_029,DB
CIDR_17_030,Cloud
CIDR_17_030,Data
CIDR_17_030,Storage
CIDR_17_031,DB
CIDR_17_032,DB
PPoPP_17_001,GPGPU
PPoPP_17_002,Concurrency
PPoPP_17_002,Compilers
PPoPP_17_003,GPGPU
PPoPP_17_004,HPC
PPoPP_17_005,Compilers
PPoPP_17_005,Concurrency
PPoPP_17_006,Concurrency
PPoPP_17_007,Concurrency
PPoPP_17_007,Compilers
PPoPP_17_008,Concurrency
PPoPP_17_009,HPC
PPoPP_17_010,Compilers
PPoPP_17_010,Concurrency
PPoPP_17_011,Concurrency
PPoPP_17_012,Concurrency
PPoPP_17_013,Benchmark
PPoPP_17_013,GPGPU
PPoPP_17_014,Concurrency
PPoPP_17_014,GPGPU
PPoPP_17_015,Benchmark
PPoPP_17_015,GPGPU
PPoPP_17_016,Benchmark
PPoPP_17_016,Concurrency
PPoPP_17_017,Concurrency
PPoPP_17_018,Benchmark
PPoPP_17_018,Concurrency
PPoPP_17_019,Concurrency
PPoPP_17_019,GPGPU
PPoPP_17_020,DB
PPoPP_17_020,Data
PPoPP_17_021,Benchmark
PPoPP_17_021,Concurrency
PPoPP_17_022,Benchmark
PPoPP_17_022,Concurrency
PPoPP_17_023,Benchmark
PPoPP_17_023,Concurrency
PPoPP_17_024,GPGPU
PPoPP_17_025,Concurrency
PPoPP_17_025,Data
PPoPP_17_026,HPC
PPoPP_17_027,Network
PPoPP_17_027,Data
PPoPP_17_027,GPGPU
PPoPP_17_028,HPC
PPoPP_17_028,Concurrency
PPoPP_17_029,Concurrency
HPCA_17_001,GPGPU
HPCA_17_001,Data
HPCA_17_002,Concurrency
HPCA_17_003,Network
HPCA_17_003,Energy
HPCA_17_004,GPGPU
HPCA_17_005,Architecture
HPCA_17_006,Architecture
HPCA_17_007,Architecture
HPCA_17_008,Architecture
HPCA_17_009,Architecture
HPCA_17_009,Energy
HPCA_17_010,Energy
HPCA_17_011,Energy
HPCA_17_011,Cloud
HPCA_17_012,Cloud
HPCA_17_012,Network
HPCA_17_013,Concurrency
HPCA_17_013,Energy
HPCA_17_014,Energy
HPCA_17_014,Architecture
HPCA_17_015,Energy
HPCA_17_016,Benchmark
HPCA_17_016,Architecture
HPCA_17_017,Architecture
HPCA_17_017,Concurrency
HPCA_17_018,Energy
HPCA_17_018,Network
HPCA_17_018,Architecture
HPCA_17_019,Network
HPCA_17_019,Architecture
HPCA_17_020,Network
HPCA_17_020,Architecture
HPCA_17_020,HPC
HPCA_17_021,Architecture
HPCA_17_021,Security
HPCA_17_021,Concurrency
HPCA_17_022,Security
HPCA_17_022,Architecture
HPCA_17_023,Architecture
HPCA_17_023,Cloud
HPCA_17_024,Security
HPCA_17_025,Architecture
HPCA_17_026,Architecture
HPCA_17_027,DB
HPCA_17_027,Storage
HPCA_17_028,Architecture
HPCA_17_028,Storage
HPCA_17_029,Concurrency
HPCA_17_030,Concurrency
HPCA_17_030,Cloud
HPCA_17_031,Concurrency
HPCA_17_032,Architecture
HPCA_17_032,DB
HPCA_17_033,Architecture
HPCA_17_034,Architecture
HPCA_17_034,Data
HPCA_17_035,Network
HPCA_17_036,Architecture
HPCA_17_036,Data
HPCA_17_036,GPGPU
HPCA_17_037,Architecture
HPCA_17_038,Architecture
HPCA_17_038,Network
HPCA_17_039,Architecture
HPCA_17_040,Architecture
HPCA_17_040,Security
HPCA_17_041,Architecture
HPCA_17_041,Data
HPCA_17_042,Data
HPCA_17_042,GPGPU
HPCA_17_042,Architecture
HPCA_17_043,GPGPU
HPCA_17_044,HPC
HPCA_17_044,GPGPU
HPCA_17_044,Architecture
HPCA_17_045,Energy
HPCA_17_045,Architecture
HPCA_17_045,GPGPU
HPCA_17_046,Architecture
HPCA_17_046,Energy
HPCA_17_046,GPGPU
HPCA_17_047,GPGPU
HPCA_17_047,Energy
HPCA_17_047,Architecture
HPCA_17_048,GPGPU
HPCA_17_048,DB
HPCA_17_048,Architecture
HPCA_17_049,Architecture
HPCA_17_049,GPGPU
HPCA_17_050,GPGPU
HPCA_17_050,Concurrency
NDSS_17_001,Security
NDSS_17_001,Storage
NDSS_17_001,DB
NDSS_17_002,Storage
NDSS_17_003,Security
NDSS_17_004,Security
NDSS_17_005,Security
NDSS_17_006,Benchmark
NDSS_17_006,Security
NDSS_17_006,Network
NDSS_17_007,Benchmark
NDSS_17_007,Security
NDSS_17_007,Network
NDSS_17_008,Security
NDSS_17_008,Network
NDSS_17_009,VM
NDSS_17_010,Security
NDSS_17_011,Security
NDSS_17_012,Security
NDSS_17_012,OS
NDSS_17_012,Architecture
NDSS_17_013,Security
NDSS_17_013,Data
NDSS_17_014,Security
NDSS_17_015,Security
NDSS_17_016,Security
NDSS_17_017,Security
NDSS_17_018,Security
NDSS_17_019,Security
NDSS_17_020,Security
NDSS_17_021,Security
NDSS_17_022,Security
NDSS_17_023,Security
NDSS_17_024,Security
NDSS_17_025,Security
NDSS_17_026,Security
NDSS_17_026,OS
NDSS_17_026,Network
NDSS_17_027,Security
NDSS_17_027,Network
NDSS_17_028,Security
NDSS_17_029,Security
NDSS_17_030,Security
NDSS_17_030,Network
NDSS_17_031,Security
NDSS_17_031,Data
NDSS_17_032,Data
NDSS_17_032,Security
NDSS_17_033,Security
