key,self
SIGMETRICS_17_001,4
SIGMETRICS_17_002,8
SIGMETRICS_17_003,5
SIGMETRICS_17_004,0
SIGMETRICS_17_005,2
SIGMETRICS_17_006,0
SIGMETRICS_17_007,5
SIGMETRICS_17_008,5
SIGMETRICS_17_009,2
SIGMETRICS_17_010,5
SIGMETRICS_17_011,10
SIGMETRICS_17_012,5
SIGMETRICS_17_013,88
SIGMETRICS_17_014,1
SIGMETRICS_17_015,87
SIGMETRICS_17_016,0
SIGMETRICS_17_017,7
SIGMETRICS_17_018,1
SIGMETRICS_17_019,16
SIGMETRICS_17_020,2
SIGMETRICS_17_021,5
SIGMETRICS_17_022,4
SIGMETRICS_17_023,7
SIGMETRICS_17_024,22
SIGMETRICS_17_025,2
SIGMETRICS_17_026,9
SIGMETRICS_17_027,8
